                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.0236,                 1.0028,                 1.1256,                 1.2647,                 1.2334,                 1.1413,                0.48246,                0.42154,                0.36378,                0.26006,                0.89119,                0.98362,                 1.0531,                 1.0652,                 1.1193,                  1.063,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.0282,                  1.005,                 1.1249,                 1.2753,                 1.2332,                 1.1418,                0.51374,                0.42437,                0.37367,                 0.2669,                 0.8903,                 0.9781,                 1.0527,                 1.0629,                  1.112,                 1.0622,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.0233,                0.99996,                 1.1238,                 1.2677,                 1.2249,                 1.1399,                0.51546,                0.41791,                0.37672,                0.26896,                0.88974,                0.97505,                 1.0521,                 1.0629,                  1.109,                 1.0609,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.0265,                 1.0007,                 1.1236,                 1.2665,                 1.2251,                 1.1408,                0.53256,                 0.4137,                0.37876,                0.27115,                0.88751,                0.97316,                 1.0509,                 1.0621,                 1.1051,                 1.0602,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.0221,                0.99551,                 1.1203,                  1.264,                 1.2251,                 1.1384,                 0.5358,                0.40667,                0.38057,                 0.2721,                0.88637,                0.97057,                 1.0498,                 1.0597,                  1.104,                 1.0595,               0.008911,               0.008911,               0.008911
                    113,                 1.0181,                0.99487,                 1.1204,                 1.2596,                 1.2185,                 1.1372,                0.50932,                0.44222,                0.39417,                0.28341,                0.88448,                0.96768,                 1.0484,                 1.0572,                 1.0985,                  1.059,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.0279,                 1.0016,                 1.1194,                 1.2743,                 1.2275,                 1.1358,                0.49091,                0.45835,                 0.3893,                 0.2775,                0.88322,                0.96599,                 1.0468,                 1.0554,                  1.095,                 1.0573,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.0157,                0.98894,                 1.1174,                 1.2559,                  1.214,                 1.1381,                0.49786,                0.47003,                0.39421,                0.28217,                0.88227,                0.96259,                  1.046,                  1.053,                 1.0903,                 1.0569,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.0204,                0.98771,                 1.1159,                 1.2663,                  1.212,                 1.1345,                0.49161,                0.45953,                0.39606,                  0.284,                0.88078,                0.96002,                 1.0444,                 1.0524,                 1.0878,                 1.0565,              0.0088714,              0.0088714,              0.0088714
                    117,                  1.023,                0.98873,                 1.1147,                 1.2666,                 1.2155,                 1.1326,                0.49616,                0.45661,                0.39612,                 0.2846,                 0.8793,                0.95782,                  1.043,                 1.0502,                 1.0852,                 1.0557,              0.0088615,              0.0088615,              0.0088615
                    118,                  1.014,                0.98592,                 1.1154,                 1.2563,                 1.2017,                 1.1354,                0.49805,                0.44732,                0.39584,                0.28323,                0.87832,                0.95462,                 1.0423,                 1.0483,                 1.0814,                 1.0544,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.0117,                0.98618,                 1.1114,                 1.2568,                 1.2053,                 1.1317,                0.50255,                0.43784,                 0.3951,                 0.2822,                0.87697,                0.95068,                  1.041,                 1.0463,                 1.0771,                 1.0529,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.0177,                0.98444,                 1.1114,                 1.2611,                 1.2066,                 1.1299,                0.49489,                0.43798,                0.39318,                 0.2808,                0.87505,                0.94851,                 1.0395,                 1.0446,                 1.0739,                  1.052,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.0178,                0.97733,                 1.1163,                  1.255,                 1.1979,                 1.1337,                0.50144,                0.44439,                0.39777,                0.28258,                0.87392,                0.94662,                  1.039,                 1.0432,                 1.0724,                 1.0519,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.0102,                  0.978,                 1.1112,                 1.2525,                 1.2035,                 1.1291,                  0.492,                0.44389,                0.39326,                0.28142,                0.87207,                0.94559,                 1.0376,                 1.0401,                 1.0726,                 1.0502,               0.008812,               0.008812,               0.008812
                    123,                 1.0076,                0.97307,                 1.1078,                 1.2499,                 1.1922,                 1.1281,                0.47819,                0.46195,                0.39069,                0.28055,                0.87014,                0.94287,                 1.0363,                 1.0372,                 1.0707,                 1.0478,              0.0088021,              0.0088021,              0.0088021
                    124,                  1.012,                0.97297,                 1.1083,                 1.2529,                 1.1913,                 1.1266,                 0.4873,                0.44762,                0.39617,                0.28442,                 0.8689,                 0.9417,                 1.0355,                 1.0357,                 1.0704,                 1.0472,              0.0087922,              0.0087922,              0.0087922
                    125,                 1.0101,                0.97464,                 1.1096,                 1.2526,                 1.1993,                   1.13,                0.49069,                0.45117,                0.39711,                 0.2851,                0.86773,                0.93929,                 1.0349,                 1.0348,                 1.0662,                 1.0466,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.0124,                0.97699,                 1.1099,                 1.2504,                 1.1945,                 1.1276,                0.48294,                0.45004,                0.39882,                0.28602,                0.86683,                0.93601,                 1.0343,                 1.0331,                 1.0643,                 1.0454,              0.0087724,              0.0087724,              0.0087724
                    127,                 1.0076,                0.97058,                 1.1087,                 1.2482,                 1.1876,                 1.1277,                0.50726,                0.45317,                0.39804,                0.28591,                0.86631,                0.93383,                 1.0339,                 1.0332,                 1.0599,                 1.0458,              0.0087625,              0.0087625,              0.0087625
                    128,                  1.006,                0.96636,                 1.1059,                 1.2448,                 1.1855,                 1.1231,                0.48296,                0.45985,                0.39987,                0.28707,                 0.8655,                0.93156,                 1.0332,                 1.0336,                 1.0552,                 1.0453,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.0059,                0.96369,                  1.105,                 1.2461,                 1.1812,                 1.1253,                0.49392,                0.45189,                 0.3986,                0.28674,                 0.8652,                0.92984,                 1.0325,                 1.0346,                 1.0524,                 1.0454,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.0034,                0.96255,                 1.1047,                 1.2448,                 1.1773,                 1.1228,                0.48683,                0.45682,                0.39615,                0.28483,                0.86414,                0.92667,                 1.0315,                 1.0331,                 1.0475,                 1.0442,              0.0087328,              0.0087328,              0.0087328
                    131,                  1.004,                 0.9639,                 1.1064,                 1.2426,                 1.1822,                 1.1268,                0.49297,                0.48857,                0.39915,                0.28656,                 0.8632,                  0.924,                 1.0307,                 1.0314,                 1.0452,                 1.0438,              0.0087229,              0.0087229,              0.0087229
                    132,                0.99697,                0.96212,                 1.0995,                  1.238,                 1.1776,                 1.1188,                  0.504,                0.48759,                0.40188,                0.28954,                0.86218,                   0.92,                 1.0302,                  1.031,                 1.0429,                 1.0434,               0.008713,               0.008713,               0.008713
                    133,                0.99814,                0.96058,                    1.1,                 1.2375,                 1.1784,                 1.1189,                0.47699,                0.48971,                0.40927,                 0.2948,                0.86103,                0.91848,                 1.0293,                 1.0302,                 1.0414,                 1.0429,              0.0087031,              0.0087031,              0.0087031
                    134,                 1.0049,                0.95671,                 1.0986,                 1.2458,                 1.1746,                 1.1155,                0.45946,                0.48879,                0.41416,                0.29823,                0.85975,                0.91378,                 1.0283,                 1.0297,                 1.0357,                 1.0421,              0.0086932,              0.0086932,              0.0086932
                    135,                 1.0015,                0.95338,                 1.0983,                 1.2431,                 1.1685,                 1.1153,                0.46077,                0.49331,                 0.4131,                0.29827,                0.85863,                0.91107,                 1.0275,                 1.0279,                 1.0355,                 1.0415,              0.0086833,              0.0086833,              0.0086833
                    136,                0.99629,                0.94565,                 1.0993,                 1.2315,                 1.1651,                 1.1193,                 0.4641,                0.49631,                0.41381,                0.29876,                0.85749,                0.90893,                 1.0267,                 1.0268,                 1.0325,                 1.0409,              0.0086734,              0.0086734,              0.0086734
                    137,                0.98989,                0.94387,                 1.0944,                 1.2343,                 1.1562,                 1.1119,                0.47195,                0.48268,                0.41689,                0.30071,                0.85629,                 0.9064,                 1.0259,                  1.026,                 1.0295,                 1.0405,              0.0086635,              0.0086635,              0.0086635
                    138,                 0.9967,                0.94565,                 1.0943,                 1.2363,                 1.1603,                 1.1128,                0.48304,                 0.4941,                0.42013,                0.30348,                0.85525,                0.90299,                 1.0253,                 1.0245,                 1.0263,                 1.0388,              0.0086536,              0.0086536,              0.0086536
                    139,                0.99639,                0.94482,                 1.0929,                 1.2345,                 1.1595,                 1.1098,                0.47429,                0.50375,                0.42127,                0.30409,                0.85435,                0.89985,                 1.0246,                 1.0232,                 1.0222,                 1.0376,              0.0086437,              0.0086437,              0.0086437
                    140,                0.99973,                0.94714,                 1.0959,                  1.239,                 1.1583,                 1.1134,                0.48103,                0.49614,                0.42213,                0.30415,                0.85346,                0.89678,                 1.0238,                 1.0218,                 1.0178,                 1.0372,              0.0086338,              0.0086338,              0.0086338
                    141,                0.99699,                 0.9482,                 1.0965,                 1.2344,                 1.1585,                 1.1151,                 0.4734,                0.49062,                0.42252,                0.30538,                0.85281,                0.89401,                 1.0234,                   1.02,                 1.0147,                 1.0359,              0.0086239,              0.0086239,              0.0086239
                    142,                0.99435,                0.94257,                 1.0919,                 1.2314,                 1.1547,                 1.1097,                0.53192,                0.47994,                  0.425,                0.30769,                0.85164,                0.89176,                 1.0227,                  1.019,                 1.0099,                 1.0354,               0.008614,               0.008614,               0.008614
                    143,                0.99009,                0.93419,                 1.0932,                 1.2291,                 1.1431,                 1.1139,                0.52909,                0.47867,                0.42765,                0.30959,                0.85071,                0.88943,                 1.0219,                 1.0176,                 1.0091,                 1.0347,              0.0086041,              0.0086041,              0.0086041
                    144,                0.99006,                0.93048,                 1.0898,                 1.2302,                 1.1424,                 1.1105,                0.53117,                0.47762,                 0.4279,                0.30975,                0.84963,                0.88646,                 1.0212,                 1.0164,                 1.0072,                 1.0339,              0.0085942,              0.0085942,              0.0085942
                    145,                0.99917,                0.94168,                 1.0964,                 1.2341,                  1.151,                 1.1151,                0.51699,                0.49063,                 0.4282,                0.31029,                0.84847,                0.88332,                 1.0206,                 1.0153,                 1.0042,                 1.0332,              0.0085843,              0.0085843,              0.0085843
                    146,                0.99129,                 0.9303,                 1.0935,                 1.2285,                  1.143,                 1.1107,                0.52716,                0.48469,                0.42889,                0.31006,                0.84724,                0.88131,                 1.0198,                 1.0134,                 1.0027,                 1.0321,              0.0085744,              0.0085744,              0.0085744
                    147,                0.98756,                0.92982,                 1.0883,                 1.2315,                 1.1405,                 1.1071,                0.51495,                0.48881,                 0.4304,                0.31122,                0.84613,                0.87912,                 1.0192,                 1.0131,                0.99829,                 1.0316,              0.0085645,              0.0085645,              0.0085645
                    148,                0.98865,                0.93082,                 1.0926,                 1.2248,                 1.1347,                  1.111,                0.51623,                0.48035,                0.43114,                0.31147,                0.84514,                0.87636,                 1.0185,                 1.0118,                0.99484,                 1.0307,              0.0085546,              0.0085546,              0.0085546
                    149,                0.99037,                0.92855,                   1.09,                 1.2312,                 1.1408,                 1.1063,                0.52115,                0.49423,                0.43025,                0.31107,                 0.8441,                0.87419,                 1.0179,                 1.0113,                0.99203,                 1.0303,              0.0085447,              0.0085447,              0.0085447
                    150,                0.98832,                0.93263,                 1.0912,                 1.2232,                 1.1391,                 1.1086,                0.52154,                0.49938,                0.43114,                0.31233,                0.84333,                0.87171,                 1.0173,                 1.0106,                0.98813,                 1.0296,              0.0085348,              0.0085348,              0.0085348
                    151,                0.98482,                0.92458,                 1.0899,                 1.2191,                 1.1301,                 1.1094,                0.51635,                0.50583,                 0.4317,                0.31279,                0.84237,                0.86984,                 1.0167,                 1.0097,                0.98491,                 1.0292,              0.0085249,              0.0085249,              0.0085249
                    152,                0.98624,                0.92094,                 1.0879,                 1.2278,                 1.1283,                 1.1087,                0.51561,                0.49386,                0.43005,                0.31299,                0.84162,                0.86782,                 1.0162,                 1.0084,                0.98415,                 1.0289,               0.008515,               0.008515,               0.008515
                    153,                0.98465,                 0.9267,                 1.0902,                 1.2213,                 1.1349,                 1.1098,                0.50125,                0.50406,                   0.43,                0.31334,                0.84099,                0.86532,                 1.0157,                 1.0084,                0.98045,                 1.0285,              0.0085051,              0.0085051,              0.0085051
                    154,                0.98367,                0.91508,                 1.0847,                 1.2214,                 1.1247,                 1.1051,                0.49856,                0.49794,                 0.4329,                0.31556,                0.84058,                0.86347,                 1.0153,                  1.007,                  0.979,                 1.0274,              0.0084952,              0.0084952,              0.0084952
                    155,                0.98418,                0.91751,                 1.0867,                 1.2221,                 1.1252,                 1.1063,                0.50115,                0.50955,                 0.4326,                0.31612,                0.84014,                0.86175,                 1.0149,                 1.0061,                 0.9764,                 1.0268,              0.0084853,              0.0084853,              0.0084853
                    156,                0.98179,                0.91535,                 1.0845,                 1.2198,                  1.121,                  1.102,                0.49797,                0.51096,                0.43308,                0.31573,                0.83961,                0.85967,                 1.0145,                 1.0048,                0.97416,                 1.0261,              0.0084754,              0.0084754,              0.0084754
                    157,                0.97822,                0.91262,                  1.086,                 1.2124,                 1.1175,                 1.1065,                0.51017,                0.50904,                0.43503,                0.31816,                0.83899,                 0.8575,                 1.0139,                 1.0033,                 0.9718,                 1.0252,              0.0084655,              0.0084655,              0.0084655
                    158,                0.98079,                0.91009,                  1.083,                  1.221,                 1.1165,                 1.1012,                0.50992,                0.50969,                0.43736,                0.31933,                0.83835,                0.85533,                 1.0135,                 1.0024,                0.96993,                 1.0247,              0.0084556,              0.0084556,              0.0084556
                    159,                0.98124,                0.90604,                 1.0847,                 1.2199,                 1.1082,                 1.1041,                0.50466,                0.51034,                0.43693,                 0.3197,                0.83771,                0.85295,                  1.013,                 1.0019,                0.96646,                 1.0242,              0.0084457,              0.0084457,              0.0084457
                    160,                0.97374,                0.90349,                 1.0809,                 1.2122,                 1.1067,                 1.1019,                0.51367,                0.50274,                0.43792,                0.31994,                0.83732,                0.85124,                 1.0125,                 1.0012,                0.96469,                 1.0238,              0.0084358,              0.0084358,              0.0084358
                    161,                0.98305,                0.90798,                 1.0847,                 1.2179,                 1.1138,                 1.1032,                0.50196,                0.50542,                0.43805,                0.31982,                0.83701,                0.84931,                 1.0122,                 1.0012,                0.96184,                 1.0238,              0.0084259,              0.0084259,              0.0084259
                    162,                 0.9747,                0.89735,                 1.0765,                 1.2104,                 1.0988,                 1.0977,                 0.5028,                0.50348,                0.43782,                0.31998,                0.83666,                0.84741,                 1.0119,                 1.0002,                0.96073,                 1.0234,               0.008416,               0.008416,               0.008416
                    163,                0.97269,                0.89853,                 1.0803,                 1.2072,                  1.103,                 1.1011,                0.48737,                0.51195,                0.43422,                0.31763,                0.83627,                0.84575,                 1.0116,                0.99977,                0.95821,                 1.0231,              0.0084061,              0.0084061,              0.0084061
                    164,                0.97875,                0.89249,                 1.0795,                 1.2184,                 1.1024,                 1.0978,                0.51862,                 0.5091,                0.43169,                0.31642,                 0.8358,                0.84396,                 1.0112,                0.99872,                0.95704,                 1.0226,              0.0083962,              0.0083962,              0.0083962
                    165,                0.97502,                0.89895,                 1.0769,                 1.2085,                 1.1005,                 1.0984,                 0.5203,                 0.5082,                0.43404,                0.31792,                0.83547,                0.84249,                 1.0109,                0.99848,                0.95543,                 1.0223,              0.0083863,              0.0083863,              0.0083863
                    166,                0.97431,                0.89537,                 1.0781,                 1.2116,                 1.0992,                 1.0972,                0.52149,                 0.5098,                0.43427,                0.31836,                0.83509,                0.84099,                 1.0105,                0.99786,                0.95321,                  1.022,              0.0083764,              0.0083764,              0.0083764
                    167,                 0.9747,                0.89538,                 1.0768,                 1.2129,                 1.1002,                 1.0973,                0.52436,                0.51463,                0.43586,                0.32072,                0.83462,                0.83938,                 1.0101,                0.99709,                0.95143,                 1.0216,              0.0083665,              0.0083665,              0.0083665
                    168,                0.97415,                0.89693,                 1.0786,                 1.2096,                  1.099,                 1.0975,                0.52172,                 0.5151,                0.43548,                0.32029,                0.83424,                0.83764,                 1.0098,                  0.996,                0.95023,                  1.021,              0.0083566,              0.0083566,              0.0083566
                    169,                0.96906,                0.88698,                 1.0713,                 1.2052,                 1.0839,                 1.0907,                 0.5218,                0.54189,                0.43655,                0.32085,                0.83381,                0.83665,                 1.0093,                0.99534,                0.94842,                 1.0207,              0.0083467,              0.0083467,              0.0083467
                    170,                0.97392,                0.88905,                 1.0769,                 1.2079,                 1.0897,                 1.0965,                0.52277,                0.52734,                0.43672,                0.32148,                0.83338,                0.83517,                 1.0089,                0.99489,                0.94675,                 1.0202,              0.0083368,              0.0083368,              0.0083368
                    171,                0.97268,                0.88867,                 1.0768,                 1.2128,                 1.0871,                  1.098,                0.52743,                0.51927,                0.43947,                0.32368,                0.83299,                0.83395,                 1.0085,                0.99459,                0.94432,                 1.0201,              0.0083269,              0.0083269,              0.0083269
                    172,                0.97278,                0.88656,                 1.0727,                 1.2046,                 1.0852,                 1.0939,                 0.5302,                0.51131,                0.43869,                0.32356,                0.83254,                0.83269,                 1.0081,                0.99413,                0.94327,                 1.0199,               0.008317,               0.008317,               0.008317
                    173,                0.97343,                0.88668,                 1.0744,                 1.2098,                 1.0858,                 1.0944,                  0.532,                0.51594,                 0.4406,                0.32501,                0.83209,                0.83126,                 1.0078,                0.99405,                0.94152,                 1.0198,              0.0083071,              0.0083071,              0.0083071
                    174,                0.97215,                0.88265,                 1.0764,                 1.2099,                 1.0824,                 1.0949,                0.53095,                0.52517,                0.44122,                0.32585,                0.83172,                0.82983,                 1.0075,                0.99347,                0.94009,                 1.0194,              0.0082972,              0.0082972,              0.0082972
                    175,                0.97079,                0.88338,                  1.073,                 1.2083,                 1.0842,                 1.0941,                0.53751,                0.51648,                0.44417,                0.32773,                0.83128,                 0.8282,                 1.0071,                0.99296,                0.93861,                 1.0191,              0.0082873,              0.0082873,              0.0082873
                    176,                0.96912,                0.88357,                 1.0753,                 1.2048,                 1.0847,                 1.0951,                0.55145,                0.53193,                 0.4469,                0.32987,                0.83087,                0.82667,                 1.0069,                0.99244,                0.93703,                 1.0188,              0.0082774,              0.0082774,              0.0082774
                    177,                 0.9692,                0.88333,                 1.0711,                 1.2054,                 1.0837,                 1.0908,                0.55346,                0.53186,                 0.4469,                0.32967,                0.83042,                0.82513,                 1.0066,                0.99172,                0.93583,                 1.0183,              0.0082675,              0.0082675,              0.0082675
                    178,                0.96545,                0.87408,                 1.0689,                 1.2019,                 1.0732,                 1.0898,                0.55231,                0.53314,                0.44703,                0.32974,                0.82994,                0.82338,                 1.0062,                0.99115,                 0.9345,                 1.0179,              0.0082576,              0.0082576,              0.0082576
                    179,                0.96828,                0.88021,                 1.0695,                 1.2038,                 1.0783,                 1.0895,                0.55613,                0.53259,                 0.4477,                0.33033,                0.82957,                0.82215,                 1.0059,                0.99016,                0.93406,                 1.0172,              0.0082477,              0.0082477,              0.0082477
                    180,                 0.9631,                0.87438,                 1.0681,                 1.1988,                 1.0721,                 1.0862,                0.55717,                0.53236,                0.44903,                 0.3315,                0.82919,                0.82101,                 1.0056,                0.98951,                0.93242,                 1.0167,              0.0082378,              0.0082378,              0.0082378
                    181,                0.96548,                0.87502,                 1.0674,                 1.2014,                 1.0724,                 1.0882,                0.55842,                0.54243,                0.44902,                0.33171,                0.82879,                0.81962,                 1.0054,                0.98894,                0.93029,                 1.0164,              0.0082279,              0.0082279,              0.0082279
                    182,                0.96555,                0.87113,                 1.0697,                 1.1981,                 1.0659,                 1.0912,                 0.5578,                0.54516,                0.44948,                0.33188,                0.82846,                0.81826,                 1.0051,                0.98867,                0.92863,                 1.0161,               0.008218,               0.008218,               0.008218
                    183,                0.96352,                 0.8728,                 1.0684,                 1.1965,                 1.0748,                 1.0902,                0.56049,                0.54374,                0.44901,                 0.3314,                0.82792,                0.81682,                 1.0047,                0.98832,                0.92719,                  1.016,              0.0082081,              0.0082081,              0.0082081
                    184,                0.96355,                0.86864,                 1.0671,                 1.2011,                 1.0639,                 1.0886,                0.56155,                0.54418,                0.44921,                0.33159,                0.82748,                0.81532,                 1.0044,                0.98813,                0.92514,                 1.0159,              0.0081982,              0.0081982,              0.0081982
                    185,                0.96586,                0.86947,                 1.0682,                 1.2058,                 1.0682,                 1.0889,                0.56167,                0.54366,                0.44987,                0.33208,                0.82701,                  0.814,                 1.0041,                0.98764,                0.92299,                 1.0157,              0.0081883,              0.0081883,              0.0081883
                    186,                0.95839,                  0.861,                 1.0651,                  1.193,                 1.0596,                 1.0846,                0.56151,                0.54356,                 0.4495,                0.33207,                0.82661,                0.81263,                 1.0037,                 0.9875,                0.92094,                 1.0155,              0.0081784,              0.0081784,              0.0081784
                    187,                0.96102,                0.86269,                  1.067,                 1.1972,                 1.0637,                 1.0861,                0.56138,                0.54402,                 0.4507,                0.33329,                0.82625,                0.81138,                 1.0034,                0.98708,                0.91911,                 1.0153,              0.0081685,              0.0081685,              0.0081685
                    188,                0.95997,                 0.8606,                 1.0671,                 1.1911,                   1.05,                 1.0885,                0.56112,                0.54047,                0.45226,                0.33463,                0.82577,                0.81032,                  1.003,                0.98641,                0.91731,                 1.0152,              0.0081586,              0.0081586,              0.0081586
                    189,                0.96513,                0.86069,                 1.0684,                    1.2,                 1.0577,                 1.0881,                0.56223,                0.54258,                 0.4534,                0.33528,                0.82542,                0.80888,                 1.0027,                0.98632,                0.91537,                 1.0152,              0.0081487,              0.0081487,              0.0081487
                    190,                 0.9578,                0.85501,                 1.0636,                 1.1932,                 1.0466,                 1.0832,                0.56361,                0.54493,                0.45386,                 0.3359,                0.82512,                0.80756,                 1.0025,                0.98563,                0.91347,                 1.0146,              0.0081388,              0.0081388,              0.0081388
                    191,                0.95874,                0.85798,                 1.0659,                 1.1877,                 1.0513,                 1.0866,                0.56545,                0.54542,                0.45447,                0.33658,                0.82473,                0.80619,                 1.0022,                0.98542,                0.91153,                 1.0141,              0.0081289,              0.0081289,              0.0081289
                    192,                0.95462,                0.85948,                 1.0637,                 1.1903,                 1.0519,                 1.0843,                0.56311,                0.54555,                0.45308,                0.33552,                0.82436,                0.80483,                 1.0019,                0.98545,                0.90943,                 1.0139,               0.008119,               0.008119,               0.008119
                    193,                0.95712,                0.85789,                 1.0659,                 1.1876,                  1.053,                 1.0863,                0.56354,                0.54536,                0.45278,                0.33549,                0.82399,                0.80379,                 1.0016,                0.98509,                0.90835,                 1.0138,              0.0081091,              0.0081091,              0.0081091
                    194,                0.96219,                0.85507,                 1.0621,                 1.2012,                 1.0495,                 1.0838,                0.56679,                0.54617,                  0.455,                0.33713,                0.82361,                0.80253,                 1.0013,                0.98474,                0.90672,                 1.0135,              0.0080992,              0.0080992,              0.0080992
                    195,                0.95542,                0.85579,                 1.0627,                 1.1892,                 1.0526,                 1.0817,                0.56767,                0.55004,                0.45646,                0.33813,                0.82325,                 0.8013,                  1.001,                 0.9845,                0.90525,                 1.0132,              0.0080893,              0.0080893,              0.0080893
                    196,                0.96056,                 0.8534,                 1.0609,                 1.1971,                 1.0471,                 1.0785,                0.56807,                 0.5505,                0.45738,                0.33852,                0.82285,                0.80019,                 1.0008,                0.98398,                0.90451,                  1.013,              0.0080794,              0.0080794,              0.0080794
                    197,                0.95351,                0.84974,                 1.0615,                 1.1857,                 1.0446,                 1.0822,                0.56988,                0.54891,                0.45835,                  0.339,                0.82244,                0.79895,                 1.0005,                0.98388,                0.90248,                 1.0127,              0.0080695,              0.0080695,              0.0080695
                    198,                0.95297,                0.84764,                 1.0622,                 1.1871,                 1.0435,                 1.0835,                0.57071,                0.54829,                0.45934,                0.33957,                0.82209,                 0.7977,                 1.0003,                0.98354,                0.90124,                 1.0124,              0.0080596,              0.0080596,              0.0080596
                    199,                0.95421,                0.85368,                 1.0605,                 1.1881,                 1.0449,                 1.0799,                0.57017,                0.54903,                0.45947,                0.34014,                0.82168,                0.79646,                      1,                0.98247,                0.90039,                 1.0118,              0.0080497,              0.0080497,              0.0080497
                    200,                0.95748,                0.84639,                 1.0596,                 1.1943,                 1.0384,                 1.0786,                0.57332,                0.54712,                0.46026,                0.34094,                0.82134,                0.79517,                0.99974,                0.98212,                0.89878,                 1.0115,              0.0080398,              0.0080398,              0.0080398
                    201,                0.95451,                0.84284,                 1.0563,                 1.1924,                 1.0313,                  1.077,                0.57537,                0.54684,                 0.4603,                0.34181,                0.82104,                0.79368,                0.99948,                0.98193,                0.89685,                 1.0114,              0.0080299,              0.0080299,              0.0080299
