                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2727,                 1.4385,                 1.3545,                 1.4969,                   1.78,                 1.3353,                0.46414,                0.17292,                0.18407,                0.12114,                 1.1831,                 1.4902,                 1.3104,                  1.357,                 1.7689,                 1.2991,              0.0097921,              0.0097921,              0.0097921
                     24,                 1.2664,                 1.4193,                 1.3485,                 1.4949,                 1.7576,                 1.3333,                0.47038,                0.18687,                0.17845,                0.11799,                 1.1997,                 1.4511,                 1.3122,                 1.3719,                 1.7336,                 1.2983,              0.0097822,              0.0097822,              0.0097822
                     25,                 1.2541,                 1.4091,                 1.3433,                 1.4803,                 1.7386,                 1.3318,                0.48311,                 0.1873,                 0.1798,                0.12019,                 1.1754,                 1.4212,                  1.297,                 1.3492,                 1.6968,                 1.2867,              0.0097723,              0.0097723,              0.0097723
                     26,                 1.2462,                 1.3814,                 1.3333,                 1.4816,                  1.711,                  1.324,                0.47472,                0.19087,                  0.187,                0.12459,                 1.1669,                 1.4108,                  1.292,                 1.3502,                 1.6571,                  1.289,              0.0097624,              0.0097624,              0.0097624
                     27,                 1.2429,                 1.3833,                 1.3266,                 1.4781,                 1.7096,                 1.3188,                0.42623,                0.19127,                0.19217,                0.12859,                 1.1555,                  1.411,                 1.2829,                 1.3359,                 1.6693,                 1.2771,              0.0097525,              0.0097525,              0.0097525
                     28,                 1.2286,                 1.3616,                 1.3164,                 1.4667,                 1.6785,                 1.3125,                0.38528,                0.19225,                0.18582,                0.12314,                 1.1421,                 1.4407,                 1.2689,                 1.3315,                 1.6943,                 1.2752,              0.0097426,              0.0097426,              0.0097426
                     29,                  1.232,                 1.3504,                 1.3131,                 1.4714,                 1.6651,                 1.3067,                0.46496,                0.20225,                0.20284,                0.13611,                 1.1509,                 1.3816,                 1.2742,                 1.3356,                 1.6239,                 1.2691,              0.0097327,              0.0097327,              0.0097327
                     30,                 1.2167,                 1.3412,                 1.3115,                 1.4541,                 1.6546,                  1.309,                0.49302,                0.21793,                0.21185,                0.14191,                 1.1348,                  1.372,                 1.2661,                 1.3287,                 1.6185,                  1.271,              0.0097228,              0.0097228,              0.0097228
                     31,                 1.2188,                 1.3365,                  1.304,                  1.459,                 1.6481,                 1.2985,                0.46619,                0.21476,                0.20219,                0.13406,                 1.1385,                 1.3432,                 1.2688,                 1.3307,                  1.594,                 1.2663,              0.0097129,              0.0097129,              0.0097129
                     32,                 1.2067,                 1.3224,                 1.2949,                 1.4497,                 1.6284,                 1.2905,                0.45813,                0.23684,                 0.2084,                0.13994,                 1.1211,                 1.3273,                 1.2525,                 1.3192,                 1.5684,                 1.2576,               0.009703,               0.009703,               0.009703
